Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
1. Mon4/6 vs NYM L (1-3),Ramos,Zimmerman,Uggla,Escobar,Desmond,Moore,Taylor,Harper,Scherzer,
2. Wed4/8 vs NYM W (2-1),Ramos,Zimmerman,Uggla,Escobar,Desmond,Moore,Taylor,Harper,Zimmermann,
3. Thu4/9 vs NYM L (3-6),Lobaton,Zimmerman,Uggla,Escobar,Desmond,Robinson,Taylor,Harper,Strasburg,
4. Fri4/10 at PHI L (1-4),Ramos,Zimmerman,Uggla,Escobar,Desmond,Moore,Taylor,Harper,Gonzalez,
5. Sat4/11 at PHI L (2-3)#,Ramos,Zimmerman,Espinosa,Escobar,Desmond,Johnson,Taylor,Harper,Fister,
6. Sun4/12 at PHI W (4-3),Ramos,Zimmerman,Uggla,Escobar,Desmond,Robinson,Taylor,Harper,Scherzer,
7. Mon4/13 at BOS L (4-9),Lobaton,Zimmerman,Espinosa,Escobar,Desmond,Werth,Taylor,Harper,Zimmermann,Robinson
8. Tue4/14 at BOS L (7-8),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Taylor,Harper,Strasburg,Robinson
9. Wed4/15 at BOS W (10-5)#,Ramos,Zimmerman,Uggla,Escobar,Desmond,Moore,Taylor,Harper,Gonzalez,Werth
10. Thu4/16 vs PHI W (5-2)#,Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Taylor,Harper,Fister,
11. Fri4/17 vs PHI W (7-2),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Taylor,Harper,Scherzer,
12. Sat4/18 vs PHI L (3-5),Lobaton,Zimmerman,Uggla,Espinosa,Desmond,Robinson,Taylor,Harper,Zimmermann,
13. Sun4/19 vs PHI W (4-1),Ramos,Zimmerman,Uggla,Espinosa,Desmond,Werth,Span,Harper,Strasburg,
14. Tue4/21 vs STL W (2-1),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Gonzalez,
15. Wed4/22 vs STL L (5-7),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Fister,
16. Thu4/23 vs STL L (1-4),Lobaton,Zimmerman,Espinosa,Escobar,Desmond,Robinson,Span,Harper,Scherzer,
