Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
1. Mon4/4 vs COL L (5-10)#,Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Owings,Peralta,Greinke,
2. Tue4/5 vs COL W (11-6),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Brito,Peralta,Miller,
3. Wed4/6 vs COL L (3-4),Herrmann,Goldschmidt,Segura,Lamb,Ahmed,Drury,Owings,Peralta,Corbin,
4. Thu4/7 vs CHC L (6-14),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Owings,Peralta,De La Rosa,
5. Fri4/8 vs CHC W (3-2),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Brito,Peralta,Ray,
6. Sat4/9 vs CHC L (2-4),Castillo,Goldschmidt,Segura,Drury,Ahmed,Tomas,Owings,Peralta,Greinke,
7. Sun4/10 vs CHC L (3-7),Herrmann,Goldschmidt,Gosselin,Lamb,Owings,Drury,Brito,Peralta,Miller,
8. Tue4/12 at LAD W (4-2),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Brito,Peralta,Corbin,
9. Wed4/13 at LAD L (1-3)#,Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Owings,Drury,De La Rosa,
10. Thu4/14 at LAD L (2-5),Herrmann,Goldschmidt,Segura,Lamb,Ahmed,Drury,Brito,Peralta,Ray,
11. Fri4/15 at SDP W (3-2),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Brito,Peralta,Greinke,
12. Sat4/16 at SDP L (3-5),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Brito,Peralta,Miller,
13. Sun4/17 at SDP W (7-3)#,Herrmann,Gosselin,Drury,Lamb,Ahmed,Weeks,Owings,Tomas,Corbin,
14. Mon4/18 at SFG W (9-7),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Owings,Peralta,Bradley,
15. Tue4/19 at SFG W (3-0),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Owings,Peralta,Ray,
16. Wed4/20 at SFG W (2-1)#,Castillo,Goldschmidt,Segura,Drury,Ahmed,Tomas,Owings,Peralta,Greinke,
17. Thu4/21 at SFG W (6-2),Herrmann,Goldschmidt,Gosselin,Lamb,Segura,Tomas,Owings,Peralta,Miller,
18. Fri4/22 vs PIT L (7-8)#,Castillo,Goldschmidt,Segura,Drury,Ahmed,Tomas,Owings,Peralta,Corbin,
19. Sat4/23 vs PIT W (7-1),Herrmann,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Owings,Peralta,De La Rosa,
20. Sun4/24 vs PIT L (10-12)#,Castillo,Goldschmidt,Segura,Gosselin,Ahmed,Tomas,Owings,Drury,Ray,
21. Mon4/25 vs STL W (12-7)#,Castillo,Goldschmidt,Segura,Drury,Ahmed,Tomas,Owings,Peralta,Greinke,
22. Tue4/26 vs STL L (2-8),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Owings,Peralta,Miller,
23. Wed4/27 vs STL L (4-11),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Peralta,Drury,Corbin,
24. Thu4/28 vs STL W (3-0),Herrmann,Goldschmidt,Segura,Lamb,Ahmed,Drury,Owings,Peralta,De La Rosa,
25. Fri4/29 vs COL L (0-9),Castillo,Goldschmidt,Drury,Lamb,Segura,Tomas,Owings,Peralta,Ray,
26. Sat4/30 vs COL L (2-5)#,Castillo,Goldschmidt,Segura,Drury,Ahmed,Tomas,Owings,Peralta,Greinke,
27. Sun5/1 vs COL L (3-6),Herrmann,Goldschmidt,Gosselin,Drury,Ahmed,Tomas,Owings,Peralta,Miller,
28. Tue5/3 at MIA L (4-7)#,Castillo,Goldschmidt,Gosselin,Drury,Ahmed,Weeks,Owings,Tomas,Corbin,
29. Wed5/4 at MIA L (3-4),Herrmann,Goldschmidt,Gosselin,Lamb,Ahmed,Tomas,Peralta,Drury,De La Rosa,
30. Thu5/5 at MIA L (0-4)#,Castillo,Goldschmidt,Segura,Drury,Ahmed,Tomas,Owings,Peralta,Ray,
31. Fri5/6 at ATL W (7-2),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Drury,Owings,Peralta,Greinke,
32. Sat5/7 at ATL W (4-2),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Drury,Owings,Peralta,Miller,
33. Sun5/8 at ATL W (5-3),Herrmann,Goldschmidt,Segura,Lamb,Ahmed,Weeks,Owings,Drury,Corbin,
34. Mon5/9 at COL W (10-5),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Drury,Owings,Herrmann,Bradley,
35. Tue5/10 at COL W (5-1)#,Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Owings,Drury,De La Rosa,
36. Wed5/11 at COL L (7-8),Herrmann,Goldschmidt,Gosselin,Lamb,Segura,Tomas,Owings,Drury,Ray,
37. Thu5/12 vs SFG L (2-4),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Owings,Drury,Greinke,
38. Fri5/13 vs SFG L (1-3),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Owings,Drury,Miller,
39. Sat5/14 vs SFG L (3-5),Herrmann,Goldschmidt,Segura,Lamb,Ahmed,Weeks,Owings,Drury,Corbin,
40. Sun5/15 vs SFG L (1-2),Castillo,Goldschmidt,Segura,Lamb,Owings,Tomas,Herrmann,Drury,De La Rosa,
41. Mon5/16 vs NYY W (12-2),Herrmann,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Bourn,Drury,Ray,
42. Tue5/17 vs NYY W (5-3),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Tomas,Owings,Herrmann,Greinke,
43. Wed5/18 vs NYY L (2-4),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Gosselin,Owings,Drury,Miller,
44. Fri5/20 at STL W (11-7),Herrmann,Goldschmidt,Segura,Lamb,Owings,Tomas,Bourn,Drury,Corbin,
45. Sat5/21 at STL L (2-6),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Weeks,Owings,Drury,Ray,
46. Sun5/22 at STL W (7-2)#,Castillo,Goldschmidt,Segura,Drury,Ahmed,Tomas,Owings,Bourn,Greinke,
