Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
1. Mon4/4 at ATL W (4-3),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Scherzer,
2. Wed4/6 at ATL W (3-1),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Strasburg,
3. Thu4/7 vs MIA L (4-6)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Roark,
4. Sun4/10 vs MIA W (4-2),Ramos,Robinson,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Ross,
5. Mon4/11 vs ATL W (6-4),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Scherzer,
6. Tue4/12 vs ATL W (2-1),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Gonzalez,
7. Wed4/13 vs ATL W (3-0),Ramos,Robinson,Murphy,Drew,Espinosa,Werth,Taylor,Harper,Roark,
8. Thu4/14 vs ATL W (6-2),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Heisey,den Dekker,Harper,Strasburg,
9. Fri4/15 at PHI W (9-1),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Ross,
10. Sat4/16 at PHI W (8-1),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Scherzer,
11. Sun4/17 at PHI L (2-3),Lobaton,Robinson,Murphy,Rendon,Drew,Werth,Heisey,Harper,Gonzalez,
12. Mon4/18 at MIA L (1-6),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Roark,
13. Tue4/19 at MIA W (7-0)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Strasburg,
14. Wed4/20 at MIA W (3-1)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Ross,
15. Thu4/21 at MIA L (1-5),Ramos,Robinson,Murphy,Rendon,Espinosa,den Dekker,Taylor,Harper,Scherzer,
16. Fri4/22 vs MIN W (8-4),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Gonzalez,
17. Sat4/23 vs MIN W (2-0),Ramos,Zimmerman,Drew,Rendon,Espinosa,Werth,Heisey,Harper,Roark,
18. Sun4/24 vs MIN W (6-5),Ramos,Zimmerman,Murphy,Rendon,Drew,Werth,Taylor,den Dekker,Strasburg,
19. Tue4/26 vs PHI L (3-4),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Scherzer,
20. Wed4/27 vs PHI L (0-3),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Gonzalez,
21. Thu4/28 vs PHI L (0-3),Severino,Zimmerman,Murphy,Drew,Espinosa,Werth,den Dekker,Harper,Roark,
22. Fri4/29 at STL W (5-4),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Strasburg,
23. Sat4/30 at STL W (6-1)#,Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Ross,
24. Sun5/1 at STL W (6-1),Lobaton,Robinson,Murphy,Rendon,Espinosa,Werth,den Dekker,Harper,Scherzer,
25. Mon5/2 at KCR W (2-0),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Gonzalez,Drew
26. Tue5/3 at KCR L (6-7),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Heisey,Taylor,Harper,Roark,Werth
27. Wed5/4 at KCR W (13-2),Ramos,Robinson,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Strasburg,Zimmerman
28. Thu5/5 at CHC L (2-5),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Ross,
29. Fri5/6 at CHC L (6-8),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Scherzer,
30. Sat5/7 at CHC L (5-8),Lobaton,Zimmerman,Drew,Rendon,Espinosa,Werth,Revere,Harper,Gonzalez,
31. Sun5/8 at CHC L (3-4),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Roark,
32. Mon5/9 vs DET W (5-4),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Revere,Taylor,Harper,Strasburg,
33. Tue5/10 vs DET L (4-5),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Ross,
34. Wed5/11 vs DET W (3-2),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Scherzer,
35. Fri5/13 vs MIA W (5-3),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Gonzalez,
36. Sat5/14 vs MIA W (6-4)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Strasburg,
37. Sat5/14 vs MIA L (1-7),Ramos,Robinson,Murphy,Rendon,Drew,den Dekker,Revere,Heisey,Roark,
38. Sun5/15 vs MIA L (1-5),Ramos,Zimmerman,Drew,Rendon,Espinosa,Robinson,Revere,Harper,Ross,
39. Tue5/17 at NYM L (0-2),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Scherzer,
40. Wed5/18 at NYM W (7-1),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Gonzalez,
41. Thu5/19 at NYM W (9-1),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Strasburg,
42. Fri5/20 at MIA W (4-1)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Roark,
43. Sat5/21 at MIA L (2-3),Lobaton,Robinson,Murphy,Rendon,Espinosa,Heisey,Revere,Harper,Ross,
44. Sun5/22 at MIA W (8-2)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Scherzer,
45. Mon5/23 vs NYM L (1-7),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Gonzalez,
46. Tue5/24 vs NYM W (7-4),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Strasburg,
47. Wed5/25 vs NYM L (0-2)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Heisey,Roark,
48. Thu5/26 vs STL W (2-1),Ramos,Zimmerman,Drew,Rendon,Espinosa,Werth,Revere,Harper,Ross,
49. Fri5/27 vs STL L (2-6)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Scherzer,
50. Sat5/28 vs STL L (4-9),Lobaton,Zimmerman,Murphy,Drew,Espinosa,Werth,Revere,Harper,Gonzalez,
51. Sun5/29 vs STL W (10-2),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Revere,Taylor,Harper,Strasburg,
52. Mon5/30 at PHI W (4-3),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Roark,
53. Tue5/31 at PHI W (5-1),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Robinson,Revere,Werth,Ross,
54. Wed6/1 at PHI W (7-2)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Heisey,Taylor,Werth,Scherzer,
55. Fri6/3 at CIN L (2-7)#,Lobaton,Murphy,Turner,Rendon,Espinosa,Werth,Revere,Harper,Gonzalez,
56. Sat6/4 at CIN L (3-6),Ramos,Robinson,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Strasburg,
57. Sun6/5 at CIN W (10-9),Ramos,Robinson,Murphy,Rendon,Espinosa,Revere,Taylor,Harper,Roark,
58. Tue6/7 at CHW W (10-5),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Revere,Taylor,Harper,Ross,Werth
59. Wed6/8 at CHW W (11-4),Ramos,Zimmerman,Drew,Rendon,Espinosa,Werth,Revere,Harper,Scherzer,Murphy
60. Thu6/9 at CHW L (1-3),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Heisey,Taylor,Harper,Gonzalez,Werth
61. Fri6/10 vs PHI W (9-6),Ramos,Zimmerman,Murphy,Drew,Espinosa,Werth,Revere,Harper,Strasburg,
62. Sat6/11 vs PHI W (8-0),Ramos,Robinson,Murphy,Rendon,Drew,Revere,Taylor,Harper,Roark,
63. Sun6/12 vs PHI W (5-4)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Heisey,Ross,
64. Mon6/13 vs CHC W (4-1),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Scherzer,
65. Tue6/14 vs CHC L (3-4),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Gonzalez,
66. Wed6/15 vs CHC W (5-4),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Strasburg,
67. Thu6/16 at SDP W (8-5),Ramos,Robinson,Drew,Rendon,Espinosa,Werth,Revere,Harper,Roark,
68. Fri6/17 at SDP W (7-5)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Ross,
69. Sat6/18 at SDP L (3-7),Ramos,Zimmerman,Murphy,Drew,Espinosa,Revere,Taylor,Harper,Scherzer,
70. Sun6/19 at SDP L (3-6)#,Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Gonzalez,
71. Mon6/20 at LAD L (1-4)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Petit,
72. Tue6/21 at LAD L (2-3)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Roark,
73. Wed6/22 at LAD L (3-4)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Ross,
74. Fri6/24 at MIL L (3-5),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Revere,Taylor,Harper,Scherzer,
75. Sat6/25 at MIL L (5-6),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Gonzalez,
76. Sun6/26 at MIL W (3-2),Lobaton,Robinson,Murphy,Rendon,Drew,Werth,Revere,Harper,Roark,
77. Mon6/27 vs NYM W (11-4),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Ross,
78. Tue6/28 vs NYM W (5-0),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Giolito,
79. Wed6/29 vs NYM W (4-2),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Scherzer,
80. Thu6/30 vs CIN W (13-4)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Heisey,Gonzalez,
81. Fri7/1 vs CIN W (3-2),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Roark,
82. Sat7/2 vs CIN L (4-9),Ramos,Robinson,Murphy,Drew,Espinosa,Werth,Revere,Harper,Ross,
83. Sun7/3 vs CIN W (12-1)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Strasburg,
84. Mon7/4 vs MIL L (0-1),Ramos,Zimmerman,Drew,Rendon,Espinosa,Werth,Revere,Harper,Scherzer,
85. Tue7/5 vs MIL L (2-5),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Gonzalez,
86. Wed7/6 vs MIL W (7-4),Lobaton,Zimmerman,Murphy,Rendon,Drew,Werth,Revere,Harper,Roark,
87. Thu7/7 at NYM L (7-9),Ramos,Robinson,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Giolito,
88. Fri7/8 at NYM W (3-1),Ramos,Robinson,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Strasburg,
89. Sat7/9 at NYM W (6-1),Ramos,Robinson,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Scherzer,
90. Sun7/10 at NYM W (3-2)#,Ramos,Murphy,Turner,Rendon,Espinosa,Werth,Taylor,Harper,Gonzalez,
91. Fri7/15 vs PIT W (5-1)#,Ramos,Robinson,Turner,Rendon,Espinosa,Werth,Taylor,Harper,Strasburg,
92. Sat7/16 vs PIT W (6-0),Ramos,Robinson,Drew,Rendon,Espinosa,Werth,Revere,Harper,Roark,
93. Sun7/17 vs PIT L (1-2),Ramos,Robinson,Turner,Drew,Espinosa,Werth,Revere,Harper,Scherzer,
94. Tue7/19 vs LAD L (4-8)#,Lobaton,Robinson,Turner,Murphy,Espinosa,Werth,Revere,Harper,Lopez,
95. Wed7/20 vs LAD W (8-1),Ramos,Murphy,Turner,Rendon,Espinosa,Werth,Revere,Harper,Gonzalez,
96. Thu7/21 vs LAD L (3-6)#,Ramos,Murphy,Turner,Rendon,Espinosa,Heisey,Taylor,Harper,Strasburg,
97. Fri7/22 vs SDP L (3-5),Ramos,Murphy,Turner,Rendon,Espinosa,Werth,Revere,Harper,Roark,
98. Sat7/23 vs SDP W (3-2),Ramos,Robinson,Murphy,Rendon,Espinosa,Werth,Revere,Harper,Scherzer,
99. Sun7/24 vs SDP L (6-10)#,Ramos,Murphy,Turner,Rendon,Espinosa,Werth,Taylor,Heisey,Giolito,
100. Tue7/26 at CLE L (6-7),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Revere,Turner,Harper,Gonzalez,Werth
101. Wed7/27 at CLE W (4-1),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Revere,Turner,Harper,Strasburg,Werth
